,Unnamed: 0,ticker,date,type,market_cap,d1dv,d2dv,d3dv,d1_i,d1_ah,d1_all,d2_i,d2_ah,d3_i,working_capital,1d_all_z,d1_all_z
23,23,CEMP,2016-12-27,CS,,9794601.4686,13277706.876,59428087.836,-0.024793,0.059322,0.033058,-0.024,-0.483607,-0.174603,,0.9776312742701199,1.6749902039577527
24,24,AAAP,2016-12-28,ADRC,,2580847.9782000002,1444187.7764,1143450.0578,-0.018657,-0.001901,-0.020522,0.010286,0.007919,0.001122,242533000.0,-0.3748374415873368,-0.2518301413489921
25,25,CEMP,2016-12-28,CS,,13277706.876,59428087.836,56697222.274,-0.024,-0.483607,-0.496,-0.174603,0.038462,0.037037,332527000.0,-2.3140458888830997,-13.212519519101987
26,26,VCEL,2017-01-03,CS,135764245.0,2179094.652,4449583.4132,2055198.3460000001,-0.04918,0.034483,-0.016393,0.033333,0.0,-0.032258,-15763000000.0,-0.24614111050967136,-0.2970964250494469
27,27,PFE,2017-01-07,CS,187918773701.0,685418767.812,649385625.5,1329328525.2977998,0.001197,0.003585,0.004786,-0.004466,-0.002093,-0.016182,867997000.0,0.2748002836422765,0.19210358148361587
28,28,TSRO,2017-01-11,CS,,209651103.624,145183641.5421,166172929.02,-0.006672,-0.038451,-0.044867,0.047687,0.007144,0.05661,466342000.0,-2.656869405031158,-1.945238597056397
29,29,VRX,2017-02-16,CS,,510597561.93479997,185868317.36,154037457.705,-0.053676,-0.009248,-0.062427,-0.001867,0.014963,0.007371,-1274965000.0,-2.246360742326137,-2.737360764560067
30,30,CLVS,2017-02-23,CS,7501093687.0,192413494.6888,98171828.0352,93937350.6685,-0.075308,-0.003466,-0.078513,0.006781,-0.003627,0.055989,606742000.0,-1.8917711801286152,-2.4951393120336736
31,31,LXRX,2017-02-28,CS,2388287140.0,23918536.6264,38589329.625,25591792.428799998,-0.01896,0.033042,0.013456,-0.053712,0.001913,-0.040738,21340000000.0,0.31959879325439816,0.21236404402033304
32,32,MRK,2017-03-15,CS,179091240015.0,583503710.3864999,617534812.8701,927422659.764,0.004658,-0.002009,0.00264,-0.00604,0.001091,-0.005447,28824500000.0,0.6360964933197699,0.6027375765714338
33,33,REGN,2017-03-29,CS,42387005114.0,769739427.1191,375367088.31670004,221211752.77859998,0.030539,0.001903,0.0325,-0.022057,-0.001113,0.004563,,1.5003410941545738,1.6978096542005443
34,34,SNY,2017-03-29,ADRC,113654025319.0,72995727.8475,57870896.4357,61314954.500599995,0.000663,-0.005302,-0.004642,-0.003997,0.002676,0.006226,2925100000.0,-0.70511917726557,-1.114755130747348
35,35,NBIX,2017-04-11,CS,3935070425.0,108638403.49949999,672030170.5845001,226493464.6956,0.023945,0.246384,0.276228,0.001934,-0.001931,0.032689,3702674000.0,3.01544548391185,10.054635086916951
36,36,BMRN,2017-04-27,CS,17672703956.0,239034332.6492,118790129.1017,92404675.97160001,0.005641,0.00696,0.012641,-0.011245,0.001982,0.016453,862000.0,0.2928991263659665,0.3188129887152305
37,37,TXMD,2017-05-07,CS,916551479.0,51897272.614,14757132.1044,8240333.118999999,0.060914,-0.052632,0.005076,0.103535,-0.016018,-0.011628,21340000000.0,0.37698166495059715,0.5838941165102525
38,38,MRK,2017-05-10,CS,161508855267.0,613741148.625,1197164729.397,657625318.8314999,0.012831,0.012668,0.025661,-0.004942,-0.000621,-0.012735,,2.8559188789976906,2.7400047356543604
39,39,SNY,2017-05-22,ADRC,123420187424.0,46879388.824,90379111.7747,256414279.6152,-0.00506,0.003255,-0.001821,-0.005069,-0.001223,0.002857,28824500000.0,-0.13075428453100857,-0.1755710267154645
40,40,REGN,2017-05-22,CS,49576255867.0,360317423.9637,264634272.3852,213411365.6372,0.027894,0.002191,0.030146,-0.001364,0.0,-0.006784,1755589000.0,1.4587428882469424,1.648381850574237
42,42,ALKS,2017-06-05,CS,9382145393.0,97738478.2836,45248608.3308,31049178.075000003,-0.026347,-0.001034,-0.027354,0.017771,0.000678,0.009148,21340000000.0,-1.9179800207649893,-2.0104981859127586
43,43,MRK,2017-06-09,CS,178233152157.0,689038745.0067,605482906.1715001,763960979.8464,0.018829,0.00264,0.021519,-0.002633,-0.01025,-0.007218,3628300000.0,2.4911906988895782,3.7784849416550337
44,44,MRK,2017-06-14,CS,175409766302.0,655397865.22,497302297.0615,939209178.8395001,0.005554,-0.001105,0.004443,-0.001738,0.001108,-0.004584,645252000.0,0.7524879108621525,0.7046612975152776
45,45,SHPG,2017-06-20,ADRC,,333233664.6738,282542659.8144,289956104.00839996,0.017892,0.009207,0.027264,0.011552,0.01716,0.00714,867997000.0,2.065765816630245,2.770412442591659
46,46,PTLA,2017-06-24,CS,,322751704.0683,124207433.9175,71061764.66759999,-0.023004,0.001406,-0.021631,-0.045271,0.016357,0.00217,946803000.0,-0.45562461748755545,-0.4442162540128103
47,47,TSRO,2017-06-30,CS,,104642305.4628,55449100.44320001,122066186.68439999,-0.001,0.001001,0.0,0.014286,-0.002113,-0.011644,174601000.0,0.00872414711493393,0.030000684740490627
48,48,OCUL,2017-07-19,CS,504860908.0,8145820.0304000005,7241009.647999999,5532254.1707999995,0.024883,0.001517,0.026439,0.042424,0.00436,-0.027496,7693000000.0,0.4632167864709079,0.3113612230630102
49,49,EGRX,2017-07-23,CS,971123700.0,30180285.495600004,27398005.3257,103273607.1155,-0.022819,0.000549,-0.022282,-0.03844,0.002998,-0.240285,466342000.0,-0.6266701073302056,-0.7761642960107823
50,50,AMGN,2017-08-14,CS,96695857396.0,328500350.4216,333091372.236,277787270.8824,0.008163,-0.00332,0.004816,-0.006195,0.001294,0.006637,-15763000000.0,0.705440974315709,1.3592585014883214
51,51,VRX,2017-08-24,CS,,161235083.9411,197007379.6618,114800673.898,0.020761,-0.010169,0.010381,-0.031507,-0.007072,0.013533,,0.4319504476035617,0.4503926021739346
52,52,PFE,2017-08-27,CS,187413615707.0,414120461.04,408884133.7192,392819345.64500004,-0.000896,-0.001195,-0.00209,0.002094,-0.000597,-0.000896,,-0.3664516252903425,-0.3649055347573296
53,53,AAAP,2017-08-28,ADRC,,2697756.7720000003,2428657.8624,1344243.339,0.009512,-0.006555,0.002895,-0.002062,0.003099,-0.00309,-7341000000.0,0.6600374657775061,0.22152472267548326
54,54,KMDA,2017-08-29,CS,192581137.0,1024854.498,503268.0096,561216.9739999999,0.02381,0.011628,0.035714,0.0,0.0,0.034483,870116000.0,0.9510156418198726,0.6332427840401195
55,55,TEVA,2017-08-30,ADRC,17052490817.0,302332252.8225,521524253.72900003,319199244.91650003,-0.022756,0.018111,-0.005057,0.007624,0.005044,-0.002509,-54857000.0,0.14367288771224343,0.3276183395592409
56,56,AGIO,2017-08-30,CS,3360608371.0,24780081.5163,30737445.711,27289378.7456,0.031333,0.000646,0.032,0.021641,0.0,-0.027031,21340000000.0,0.8160689341498344,1.2916776657803815
57,57,NEOS,2017-09-15,CS,,17521005.0708,19793150.06,14292861.4164,0.016575,-0.070652,-0.055249,0.017544,-0.011494,-0.023256,152387000.0,-1.828865323899065,-1.6777988345529564
58,58,MRK,2017-09-22,CS,164514728551.0,486830437.95860004,363471343.70000005,452610273.6224,-0.007618,0.000461,-0.007161,0.000307,-0.001227,-0.005223,693854000.0,-1.522700247855004,-1.2263465404502474
59,59,FLXN,2017-10-06,CS,,240104032.1104,248601881.18339998,100499888.292,0.07817,0.01871,0.098343,-0.073795,0.008144,-0.045662,1338228000.0,1.618228848292904,2.3927093621740836
60,60,ALXN,2017-10-23,CS,,339880181.61240005,679233734.6322,435147728.274,-0.023686,0.045192,0.020436,-0.032906,-0.018147,-0.016172,867997000.0,1.8071035495527903,1.537547021233694
61,61,PTCT,2017-10-24,CS,1141064106.0,25939012.441600002,67852800.4902,48283742.665199995,-0.04947,-0.009294,-0.058304,0.081926,-0.040462,-0.021084,174601000.0,-1.6035284618280428,-2.81961660754774
62,62,TSRO,2017-10-25,CS,,52831377.3688,71505353.3766,84657379.68,-0.017589,0.016087,-0.001786,0.011538,-0.002122,0.024546,1581733000.0,0.22164797271108555,0.14862823084798396
63,63,EGRX,2017-10-30,CS,671779985.0,18035442.6462,10884378.4218,10241283.6805,-0.066738,-0.003268,-0.069788,0.036644,0.007442,-0.010526,128849000.0,-2.526056406633084,-3.437625077611751
64,64,DVAX,2017-11-09,CS,2405040246.0,73792923.5204,200571377.58,76170325.0316,-0.054245,0.104738,0.044811,-0.085779,-0.002469,-0.091584,1464270000.0,1.1893366060311268,0.9164179846681446
65,65,HRTX,2017-11-12,CS,1666643806.0,13956922.0479,22152773.7951,19700946.177,-0.006289,-0.003165,-0.009434,-0.019048,-0.012945,0.02623,2435000000.0,-0.3139728499728162,-0.46346591440500157
66,66,RARE,2017-11-16,CS,3286782489.0,23874514.167,26422972.7383,10637859.4309,0.015158,-0.006636,0.008421,0.004384,0.0,-0.005612,7693000000.0,0.3038748034459463,0.1979081246924932
67,67,GILD,2017-11-29,CS,92410434065.0,729151979.7765,877343717.44,632174930.0,0.011395,0.011131,0.022652,0.003893,-0.004547,0.01209,157299000.0,2.0988748398265336,1.8554054650621397
68,68,AMGN,2017-12-02,CS,99810717834.0,792567223.3216,642976218.2835,443863947.9516,0.001289,0.001791,0.003082,-0.001899,0.004366,-0.017999,466342000.0,-0.3931604850357105,-0.1655950658183413
70,70,CORI,2017-12-26,CS,,2641760.1504,1514517.1925,1116904.9963,-0.030214,0.00201,-0.028265,-0.004012,0.002014,0.003015,,-0.511963968030272,-0.8188116569171322
71,71,VRX,2017-12-27,CS,,251244871.612,307723984.2352,216879734.9492,-0.011014,-0.00232,-0.013309,-0.015814,-0.000473,-0.017494,,-0.22036167582048044,-0.46722067622639357
73,73,AAAP,2018-01-26,ADRC,,1855657.25,1594583.8697,1460679.8765,0.00061,-0.00061,0.0,0.000732,-0.000732,0.002074,19710394.0,-0.08413265143583716,-0.05390447290540717
74,74,ARDM,2018-01-26,CS,,830821.0438999999,3143116.5642,710669.4875,-0.004444,-0.334821,-0.337778,0.067114,-0.037736,-0.019608,2079334000.0,-2.759876533014075,-4.832003711054092
75,75,NVS,2018-01-26,ADRC,210085264549.0,182728689.8816,142882927.6539,128576214.52960001,-0.002337,-0.010755,-0.013067,0.000861,-0.009249,-0.004776,30442000.0,-1.1923793799397338,-1.6529790439576013
76,76,AMGN,2018-02-03,CS,105336356333.0,1241108592.861,1318151866.2337,1021305244.2021,-0.064608,0.018541,-0.047265,-0.007529,-0.002264,0.006922,46540000.0,-1.4214174109649185,-2.43237226491678
77,77,LPCN,2018-02-08,CS,105948780.0,397312.1366,377606.7072,445432.24159999995,-0.069767,0.008333,-0.062016,0.016529,0.01626,0.032,3702674000.0,-0.9463221177098922,-1.1399298987771154
78,78,EXEL,2018-02-15,CS,9422313380.0,55063325.4219,43853316.6431,34413148.800799996,0.001008,-0.003694,-0.002689,-0.016515,-0.006169,-0.005862,168000.0,0.005330741936215402,-0.03733359600857076
80,80,KMPH,2018-02-23,CS,211916556.0,11707568.675,4357170.717,1355725.866,0.121495,0.05,0.17757,-0.063492,0.0,0.0,994340000.0,2.8996429472889473,4.610500752745674
81,81,LJPC,2018-02-28,CS,854896309.0,33483098.3166,15894301.5515,20452928.8832,0.001935,-0.003863,-0.001935,-0.003232,-0.019455,0.014881,-1274965000.0,0.15920189476203508,-0.016470710268385563
82,82,BMRN,2018-02-28,CS,14902279037.0,90355509.474,217404500.761,143407213.5888,-0.021577,0.001478,-0.02013,-0.044532,-0.004506,0.03285,27492000.0,-0.7339786408591371,-0.8068052773641138
83,83,OTIC,2018-03-02,CS,323083495.0,18213372.3264,3487385.118,2343268.1952,0.017857,0.0,0.017857,-0.008772,-0.00885,-0.026786,1464270000.0,0.6374609126626137,0.5055849093856629
84,84,MRK,2018-04-03,CS,136628307498.0,495582802.44119996,481727935.953,683605851.329,0.014061,-0.011462,0.002437,0.020011,0.009534,-0.009626,6449000.0,0.16956474312135553,0.5155140252359708
85,85,PCRX,2018-04-06,CS,1483331483.0,296529387.2835,104497159.7721,61471113.2103,0.132653,0.028529,0.164966,0.007299,0.018841,0.044097,3099821000.0,2.5743106214333755,4.305416344701287
86,86,CLVS,2018-04-06,CS,7216439465.0,189409890.7008,140785297.9344,124918240.1681,0.060757,0.026657,0.089033,0.031404,-0.033169,0.074595,19710394.0,2.1008782003308224,2.888105552306189
